name	count	zeros	zeros%	min	max	mean	variance	stdev	uniq~	uniq%	entropy
100a	323	29	8.2	0	1	0.917613636363636	0.1	0.3	150	46.7	6.4/8.3
100d	14	338	96.0	0	1	0.0397727272727273	0.0	0.2	9	64.3	0.4/8.5
100e	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
130a	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
240a	84	268	76.1	0	1	0.238636363636364	0.2	0.4	50	59.6	2.0/8.5
240l	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
245a	352	0	0.0	1	1	1	0.0	0.0	217	61.8	7.2/8.3
245b	215	137	38.9	0	1	0.610795454545455	0.2	0.5	175	81.8	5.4/8.4
245c	346	6	1.7	0	1	0.982954545454545	0.0	0.1	259	74.9	7.9/8.3
245h	32	320	90.9	0	1	0.0909090909090909	0.1	0.3	4	12.5	0.5/8.5
245n	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
245p	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
246a	29	330	93.8	0	3	0.0823863636363636	0.1	0.3	20	69.0	0.7/8.5
246i	5	347	98.6	0	1	0.0142045454545455	0.0	0.1	2	40.0	0.1/8.5
250a	212	140	39.8	0	1	0.602272727272727	0.2	0.5	105	49.7	4.5/8.4
260a	360	0	0.0	1	2	1.02272727272727	0.0	0.1	81	22.6	5.0/8.5
